AQ,PNA
-1.44767,55
-1.35344,99.4
-1.27335,56.2
-1.09363,77.8
-1.081,94.9
-1.07442,100
-0.93242,68.2
-0.86407,86.5
-0.70984,76.9
-0.69672,87.7
-0.68905,78.7
-0.67677,100.3
-0.59819,76.6
-0.59653,55.3
-0.58381,71.2
-0.57679,70.6
-0.56821,49.9
-0.54258,79.3
-0.5154,88.6
-0.5066,65.2
-0.47737,48.1
-0.46626,84.7
-0.45735,59.8
-0.4246,87.4
-0.40091,51.7
-0.39433,56.8
-0.36805,77.8
-0.35337,68.5
-0.31898,74.8
-0.31258,82.3
-0.30314,50.5
-0.30284,46.6
-0.29688,59.8
-0.28447,79.6
-0.25435,51.1
-0.22858,78.7
-0.22605,46
-0.21963,53.2
-0.16563,76.6
-0.15735,59.8
-0.13747,73.3
-0.13628,58
-0.04726,79.6
-0.04577,60.4
-0.04526,53.8
-0.03207,63.7
-0.01833,66.4
0.03144,54.4
0.05395,34
0.05909,57.7
0.05921,56.2
0.08088,46.6
0.09544,38.8
0.1366,47.8
0.14281,57.7
0.15021,52.3
0.17807,52.9
0.17849,47.5
0.17865,45.4
0.18614,38.8
0.20574,55.9
0.22037,47.2
0.23419,49
0.28372,40
0.28935,57.4
0.29002,48.7
0.29053,42.1
0.32577,37.6
0.33879,49.6
0.35142,66.7
0.35186,61
0.35305,45.7
0.36714,43.9
0.37333,54.1
0.38653,63.7
0.44465,34
0.45758,47.2
0.45798,42.1
0.45812,40.3
0.46609,27.4
0.47979,30.7
0.50651,46
0.52767,43
0.52888,27.4
0.53537,33.7
0.54956,30.7
0.58463,28.3
0.61207,34.3
0.6544,28.3
0.68335,14.8
0.71005,30.4
0.72488,19
0.88998,49.3
0.98142,39.7
1.31693,31.6
