id,WEMWBS,nep
1,48,52
5,38,47
6,40,49
7,54,45
9,54,51
10,39,55
11,51,47
14,51,47
15,54,51
17,52,53
18,46,54
19,51,52
20,35,49
21,53,50
22,55,49
23,37,54
24,46,45
25,53,45
26,56,50
27,45,50
28,52,47
29,32,56
30,41,51
31,47,49
32,38,48
34,36,44
38,45,51
39,31,49
41,32,47
42,50,46
43,60,51
44,43,53
45,41,53
46,40,52
47,39,47
48,59,49
49,52,50
51,43,52
52,53,51
53,32,61
54,33,53
56,49,54
57,45,45
58,36,50
60,49,48
61,50,52
62,40,51
63,38,49
64,62,51
66,41,43
67,43,47
69,25,55
70,50,50
72,49,48
76,45,43
77,50,56
78,51,49
79,53,46
80,49,55
81,48,48
84,45,51
85,47,49
86,49,48
88,57,48
89,49,54
90,35,56
91,52,44
92,46,48
93,44,51
94,43,52
95,55,56
97,42,49
98,55,52
99,45,50
102,34,49
103,47,47
104,47,51
105,42,50
106,54,49
107,30,51
108,50,54
110,57,49
111,49,43
112,47,48
113,42,54
114,51,46
115,47,54
118,40,47
120,45,53
121,32,49
122,53,46
129,50,56
130,58,47
131,50,51
132,52,47
134,34,51
135,33,48
137,42,49
138,55,50
139,52,52
142,49,49
143,48,51
145,56,57
146,51,52
147,53,50
149,56,51
150,53,42
151,49,53
153,55,49
154,41,57
155,38,48
156,50,49
158,47,52
160,31,50
161,42,53
162,37,48
163,31,50
164,44,45
165,53,54
166,37,51
168,44,50
169,57,45
171,40,44
172,54,53
173,45,46
174,59,51
175,53,50
176,49,46
178,37,44
179,52,55
180,46,56
181,58,59
182,43,55
184,53,43
185,49,56
186,48,48
187,42,51
188,40,46
189,57,46
191,48,55
193,45,48
194,48,51
195,51,50
196,51,46
197,48,52
199,51,49
200,61,57
201,45,51
202,44,46
203,39,53
204,46,56
206,41,51
207,50,53
208,39,50
210,50,54
211,49,56
212,48,48
215,47,48
216,39,48
217,43,50
218,47,52
220,37,45
222,48,51
223,49,55
224,39,47
225,53,51
226,59,51
227,50,44
229,53,57
231,51,58
232,44,45
233,43,45
234,37,47
235,47,53
236,43,48
237,46,50
238,60,52
239,47,50
240,37,47
241,47,46
242,31,49
243,46,49
244,46,45
246,52,52
248,39,55
249,56,44
250,50,56
251,47,49
252,45,55
253,47,54
254,49,61
256,45,53
257,40,49
258,48,54
259,42,53
261,46,51
262,47,46
263,54,52
264,44,53
265,55,50
266,50,53
267,49,51
268,27,48
270,32,51
271,44,50
272,44,46
273,35,55
274,47,57
275,43,52
276,50,54
277,57,50
278,38,37
279,45,45
282,37,50
283,33,53
284,45,46
285,45,51
287,50,50
289,43,53
291,41,55
292,44,54
294,49,51
295,46,46
296,37,53
298,48,48
299,34,48
300,50,52
302,40,52
303,41,54
304,49,50
305,51,60
306,49,44
307,40,53
308,36,47
309,44,46
310,46,48
312,47,44
314,48,48
315,37,60
316,45,49
317,48,48
318,47,43
319,46,46
320,57,48
321,47,45
322,50,55
323,49,47
324,58,59
325,51,52
326,36,49
327,47,52
328,49,44
329,48,44
330,42,57
331,34,49
333,50,49
334,38,50
335,52,53
336,52,53
337,40,59
338,43,50
339,51,49
340,39,50
341,31,51
342,43,48
343,47,49
344,53,53
345,51,51
346,41,54
347,47,43
349,40,47
351,52,53
354,35,47
356,41,51
357,33,46
358,35,53
360,50,55
361,51,54
362,46,55
363,65,47
365,47,56
366,46,51
367,53,54
368,65,43
370,39,55
371,47,48
373,47,48
374,51,46
